配件类型,型号名称,固定资产编号,设备序列（SN）号,来源,关联服务器,存放位置,运维部门,供应商,合同号,所属项目,产权单位,到货验收日期,维保到位时间,采购金额,可调配标记,备注
算力卡,NVIDIA A100 80GB PCIe,FA-YW-G01,SN-YW-G001,独立合同采购,,A栋数据中心/Rack-D-12,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,68500.00,通用可调,优普到货单 YW-20260805 第1件
算力卡,NVIDIA A100 80GB PCIe,FA-YW-G02,SN-YW-G002,独立合同采购,,A栋数据中心/Rack-D-12,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,68500.00,通用可调,优普到货单 YW-20260805 第2件
算力卡,NVIDIA A100 80GB PCIe,FA-YW-G03,SN-YW-G003,独立合同采购,,A栋数据中心/Rack-D-12,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,68500.00,通用可调,优普到货单 YW-20260805 第3件
算力卡,NVIDIA A100 80GB PCIe,FA-YW-G04,SN-YW-G004,独立合同采购,,A栋数据中心/Rack-D-12,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,68500.00,通用可调,优普到货单 YW-20260805 第4件
算力卡,NVIDIA A100 80GB PCIe,FA-YW-G05,SN-YW-G005,独立合同采购,,A栋数据中心/Rack-D-12,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,68500.00,通用可调,优普到货单 YW-20260805 第5件
算力卡,NVIDIA A100 80GB PCIe,FA-YW-G06,SN-YW-G006,独立合同采购,,A栋数据中心/Rack-D-12,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,68500.00,通用可调,优普到货单 YW-20260805 第6件
算力卡,NVIDIA A100 80GB PCIe,FA-YW-G07,SN-YW-G007,独立合同采购,,A栋数据中心/Rack-D-12,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,68500.00,通用可调,优普到货单 YW-20260805 第7件
算力卡,NVIDIA A100 80GB PCIe,FA-YW-G08,SN-YW-G008,独立合同采购,,A栋数据中心/Rack-D-12,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,68500.00,通用可调,优普到货单 YW-20260805 第8件
算力卡,NVIDIA A100 80GB PCIe,FA-YW-G09,SN-YW-G009,独立合同采购,,A栋数据中心/Rack-D-12,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,68500.00,通用可调,优普到货单 YW-20260805 第9件
算力卡,NVIDIA A100 80GB PCIe,FA-YW-G10,SN-YW-G010,独立合同采购,,A栋数据中心/Rack-D-12,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,68500.00,通用可调,优普到货单 YW-20260805 第10件
内存,三星 32GB DDR4-3200 RDIMM,FA-YW-M01,SN-YW-M001,独立合同采购,,一号库房/C-03,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,780.00,通用可调,优普到货单 YW-20260805 第11件
内存,三星 32GB DDR4-3200 RDIMM,FA-YW-M02,SN-YW-M002,独立合同采购,,一号库房/C-03,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,780.00,通用可调,优普到货单 YW-20260805 第12件
内存,三星 32GB DDR4-3200 RDIMM,FA-YW-M03,SN-YW-M003,独立合同采购,,一号库房/C-03,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,780.00,通用可调,优普到货单 YW-20260805 第13件
内存,三星 32GB DDR4-3200 RDIMM,FA-YW-M04,SN-YW-M004,独立合同采购,,一号库房/C-03,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,780.00,通用可调,优普到货单 YW-20260805 第14件
内存,三星 32GB DDR4-3200 RDIMM,FA-YW-M05,SN-YW-M005,独立合同采购,,一号库房/C-03,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,780.00,通用可调,优普到货单 YW-20260805 第15件
内存,三星 32GB DDR4-3200 RDIMM,FA-YW-M06,SN-YW-M006,独立合同采购,,一号库房/C-03,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,780.00,通用可调,优普到货单 YW-20260805 第16件
内存,三星 32GB DDR4-3200 RDIMM,FA-YW-M07,SN-YW-M007,独立合同采购,,一号库房/C-03,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,780.00,通用可调,优普到货单 YW-20260805 第17件
内存,三星 32GB DDR4-3200 RDIMM,FA-YW-M08,SN-YW-M008,独立合同采购,,一号库房/C-03,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,780.00,通用可调,优普到货单 YW-20260805 第18件
内存,三星 32GB DDR4-3200 RDIMM,FA-YW-M09,SN-YW-M009,独立合同采购,,一号库房/C-03,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,780.00,保留,优普到货单 YW-20260805 第19件
内存,三星 32GB DDR4-3200 RDIMM,FA-YW-M10,SN-YW-M010,独立合同采购,,一号库房/C-03,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,780.00,保留,优普到货单 YW-20260805 第20件
机械硬盘,希捷 4TB SAS 7.2K,FA-YW-H01,SN-YW-H001,独立合同采购,,一号库房/A-01,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,1150.00,通用可调,优普到货单 YW-20260805 第21件
机械硬盘,希捷 4TB SAS 7.2K,FA-YW-H02,SN-YW-H002,独立合同采购,,一号库房/A-01,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,1150.00,通用可调,优普到货单 YW-20260805 第22件
机械硬盘,希捷 4TB SAS 7.2K,FA-YW-H03,SN-YW-H003,独立合同采购,,一号库房/A-01,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,1150.00,通用可调,优普到货单 YW-20260805 第23件
机械硬盘,希捷 4TB SAS 7.2K,FA-YW-H04,SN-YW-H004,独立合同采购,,一号库房/A-01,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,1150.00,通用可调,优普到货单 YW-20260805 第24件
机械硬盘,希捷 4TB SAS 7.2K,FA-YW-H05,SN-YW-H005,独立合同采购,,一号库房/A-01,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,1150.00,通用可调,优普到货单 YW-20260805 第25件
机械硬盘,希捷 4TB SAS 7.2K,FA-YW-H06,SN-YW-H006,独立合同采购,,一号库房/A-01,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,1150.00,通用可调,优普到货单 YW-20260805 第26件
机械硬盘,希捷 4TB SAS 7.2K,FA-YW-H07,SN-YW-H007,独立合同采购,,一号库房/A-01,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,1150.00,通用可调,优普到货单 YW-20260805 第27件
机械硬盘,希捷 4TB SAS 7.2K,FA-YW-H08,SN-YW-H008,独立合同采购,,一号库房/A-01,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,1150.00,通用可调,优普到货单 YW-20260805 第28件
机械硬盘,希捷 4TB SAS 7.2K,FA-YW-H09,SN-YW-H009,独立合同采购,,一号库房/A-01,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,1150.00,通用可调,优普到货单 YW-20260805 第29件
机械硬盘,希捷 4TB SAS 7.2K,FA-YW-H10,SN-YW-H010,独立合同采购,,一号库房/A-01,基础组,三星代理商,HT-2026-YW-101,2026年智算资源池扩容,本单位信息中心,2026-08-05,2029-08-05,1150.00,通用可调,优普到货单 YW-20260805 第30件
